ID,date,primary_type,arrest,domestic,district,x,y
31950,2017-11-14 12:34:00,ASSAULT,true,false,001,65.6868156649259,95.1418387986832
31951,2017-11-14 12:34:00,OTHER OFFENSE,false,false,006,65.6894141516819,95.2789096620057
31952,2017-11-14 12:41:00,NARCOTICS,true,false,011,65.6046425178923,95.1469775336395
31953,2017-11-14 12:43:00,ASSAULT,true,false,001,65.6865587675037,95.1480197864359
31954,2017-11-14 12:44:00,WEAPONS VIOLATION,false,false,002,65.6919850188822,95.2351233316177
31955,2017-11-14 12:45:00,BATTERY,false,true,007,65.6690646583457,95.2567008293147
31956,2017-11-14 12:45:00,THEFT,false,false,018,65.6883035184373,95.1298395781273
31957,2017-11-14 12:45:00,THEFT,false,false,001,65.683051521281,95.1480722167892
31958,2017-11-14 12:47:00,DECEPTIVE PRACTICE,false,false,019,65.6452669310535,95.0755197599172
31959,2017-11-14 12:50:00,BATTERY,false,false,007,65.6817353015474,95.2412126995822
